id,user_id,day_id,section,competence,item_index,prompt,expected,response,resultado,score,aciertos,errores,punto_debil,practica_recomendada,feedback_alumno,created_at
b6e0c760-ee43-4e30-a623-9ba07cc3b9d1,fcc58ab2-9b87-40d1-b6d3-d6baa3ecf553,1,vocab,PO,0,Entras al café y quieres pedir una mesa para dos personas de manera educada.,"Une table pour deux, s'il vous plaît.","Un table pour deux, s'il vous plaît.",parcial,8,"[""pour deux, s'il vous plaît.""]","[{""dijo"": ""Un table"", ""regla"": ""El sustantivo 'table' es femenino en francés, por lo que necesita el artículo 'une'."", ""correcto"": ""Une table""}]",Acuerdo de género (sustantivo y artículo),Practica los artículos definidos e indefinidos con sustantivos comunes y su género.,¡Muy bien! Has usado la expresión clave y la fórmula de cortesía perfectamente. Solo un pequeño ajuste en el género de la palabra 'table'. ¡Continue comme ça !,2026-07-14 01:47:00.488205+00
3ab0249d-98e4-421e-b15a-d354727e1a13,fcc58ab2-9b87-40d1-b6d3-d6baa3ecf553,1,vocab,PO,1,"El camarero te trae el té, pero olvida la cuchara. Pídele una con educación.",Vous avez une cuillère ?,Plus avant inclier.,incorrecto,2,[],"[{""dijo"": ""Plus avant inclier."", ""regla"": ""La frase no se parece a la respuesta esperada."", ""correcto"": ""Vous avez une cuillère ?""}]","",Repasa el vocabulario de utensilios de cocina y las estructuras básicas para hacer preguntas.,"¡Hola! Veo que intentaste construir una frase, y eso ya es un buen comienzo.  Vamos a practicar un poco más cómo pedir objetos de forma educada en francés para que puedas lograrlo la próxima vez. Continue comme ça !",2026-07-14 01:48:34.484943+00
83eeaa9b-fbd6-4eb5-92ec-67ba9de59acd,fcc58ab2-9b87-40d1-b6d3-d6baa3ecf553,1,vocab,PO,2,Quieres pedir un jugo de naranja fresco.,Je voudrais un jus d'orange frais.,Je devrais arriver demain.,incorrecto,2,[],"[{""dijo"": ""Je devrais arriver demain."", ""regla"": ""La frase no se corresponde con la consigna 'pedir un jugo de naranja fresco'."", ""correcto"": ""Je voudrais un jus d'orange frais.""}]",comprensión general y vocabulario relacionado con solicitudes,Revisa el vocabulario para expresar deseos y necesidades básicas en francés.,"¡Hola! Tu respuesta no se corresponde con la consigna de hoy. Recuerda que la idea era pedir un jugo de naranja fresco. ¡No te desanimes, mañana lo haremos mejor! Continue comme ça !",2026-07-14 01:54:27.899771+00
1c259481-a674-4c7e-819f-17b33459922e,fcc58ab2-9b87-40d1-b6d3-d6baa3ecf553,1,vocab,PO,3,Estás listo para irte y llamas al camarero para pedirle la cuenta.,"L'addition, s'il vous plaît !","La diction, s'il vous plaît.",parcial,7,"[""la estructura de la pregunta"", ""el uso de 's'il vous plaît'""]","[{""dijo"": ""La diction"", ""regla"": ""La palabra correcta para 'la cuenta' es 'l'addition'."", ""correcto"": ""L'addition""}]",vocabulario específico (heterónimos),Repasa el vocabulario relacionado con restaurantes y servicios.,"¡Muy bien! Has usado la estructura de cortesía perfectamente. Solo tienes que recordar que, para pedir la cuenta, se usa 'l'addition'. ¡Vas por buen camino, continue comme ça !",2026-07-14 01:54:57.339293+00
0c6e0218-c3fa-4a21-85a2-ba2e112e3ad7,ac2ee1e1-d159-4ad4-95b1-0964fa0509d5,1,vocab,PO,0,Entras al café y quieres pedir una mesa para dos personas de manera educada.,"Une table pour deux, s'il vous plaît.","Fream tabla hodo,",incorrecto,2,[],"[{""dijo"": ""Fream"", ""regla"": ""La preposición 'pour' significa 'para'."", ""correcto"": ""Pour""}, {""dijo"": ""tabla hodo"", ""regla"": ""Uso de artículo y pronombre de cantidad."", ""correcto"": ""une table pour deux""}]","",Repasa las frases básicas para pedir en un restaurante o café.,"¡Gracias por tu intento! Es un poco difícil al principio. No te preocupes, con la práctica lo conseguirás. ¡Courage !",2026-07-14 01:55:53.909302+00
91b468d0-341e-4dfc-91bc-b078aefeb7e9,fcc58ab2-9b87-40d1-b6d3-d6baa3ecf553,1,vocab,PO,4,Quieres preguntarle al camarero cuánto cuesta el café.,"C'est combien, le café ?",Ce convenient nu café.,parcial,6,"[""Identificó la situación de pedir el precio""]","[{""dijo"": ""Ce convenient"", ""regla"": ""La contracción de 'ce est' es 'c'est', y 'combien' se usa para preguntar 'cuánto'."", ""correcto"": ""C'est combien""}, {""dijo"": ""nu café"", ""regla"": ""El artículo definido 'le' (el) es necesario en este contexto, no 'un'."", ""correcto"": ""le café""}]","",Repasa la formulación de preguntas con 'combien' y la diferencia entre artículos definidos e indefinidos.,¡Vas por buen camino al intentar preguntar por el café! Solo unas pequeñas ajustes en la pronunciación y el artículo harán que tu francés sea aún más claro. Continue comme ça !,2026-07-14 01:56:55.314381+00
1f54ca8b-beb8-40e6-8caa-4e0f6cf80614,ac2ee1e1-d159-4ad4-95b1-0964fa0509d5,1,vocab,PO,1,"El camarero te trae el té, pero olvida la cuchara. Pídele una con educación.",Vous avez une cuillère ?,Vous savez incluire.,incorrecto,2,[],"[{""dijo"": ""Vous savez incluire."", ""regla"": ""Confundes 'savoir' (saber) con 'avoir' (tener) y 'inclure' (incluir) con 'cuillère' (cuchara)."", ""correcto"": ""Vous avez une cuillère ?""}]",vocabulario y audición,Repasa el vocabulario de utensilios de cocina y escucha su pronunciación.,"",2026-07-14 01:57:44.266561+00
546b201a-de4c-4013-a332-2542ea716b5f,ac2ee1e1-d159-4ad4-95b1-0964fa0509d5,1,vocab,PO,2,Quieres pedir un jugo de naranja fresco.,Je voudrais un jus d'orange frais.,"Je voudrais un jus d'orange, poi.",parcial,7,"[""Je voudrais un jus d'orange""]","[{""dijo"": ""poi"", ""regla"": ""La palabra correcta para especificar que el jugo es fresco es 'frais'."", ""correcto"": ""frais""}]",vocabulario específico (adjetivos),Repasa adjetivos comunes para describir comidas y bebidas.,¡Vas muy bien con la estructura general de la frase para pedir algo! Solo necesitas un pequeño ajuste en el adjetivo. ¡Continue comme ça !,2026-07-14 01:58:29.442732+00
c049308f-20e7-4673-b2f7-380028c8a79e,fcc58ab2-9b87-40d1-b6d3-d6baa3ecf553,1,vocab,PE,0,"Traduce al francés: « Una taza grande, por favor. »","Une grande tasse, s'il vous plaît.", Une grande tasse de café,parcial,7,"[""Une grande tasse""]","[{""dijo"": ""tasse de café"", ""regla"": ""La consigna pedía especificar si era una taza de café."", ""correcto"": ""tasse, s'il vous plaît""}]","",Repasa las diferentes formas de pedir cosas cortésmente en francés.,¡Vas muy bien con el vocabulario! La estructura de la frase es perfecta. Solo recuerda incluir la expresión de cortesía que hacía falta. Continue comme ça !,2026-07-14 01:58:52.218722+00
643a5237-abb6-42fa-8975-97c21940787f,ac2ee1e1-d159-4ad4-95b1-0964fa0509d5,1,vocab,PO,3,Estás listo para irte y llamas al camarero para pedirle la cuenta.,"L'addition, s'il vous plaît !","L'addition, s'il vous plaît.",correcto,10,"[""L'addition, s'il vous plaît""]",[],"Ninguno, fue perfecto.",Sigue practicando estas frases útiles.,¡Fantástico! Has dicho exactamente lo que se necesita en esa situación.  Tu respuesta es perfectamente correcta. Continue comme ça !,2026-07-14 01:59:20.339303+00
